,Unnamed: 0,Block,Lot,Building_Class,Tax_Class,Building_Count,DOF_Gross_Square_Footage,Address,BoroughName,BBL,ENERGY STAR Score,LetterScore,latitude,longitude,NTA
12455,16051,6099,47,D4,2,1,41238,2 MARINE AVENUE,BROOKLYN,-2147483648,75,B,40.620475,-74.038178,Fort Hamilton
12456,16052,1206,5,C1,2,1,55200,1198 PACIFIC STREET,BROOKLYN,-2147483648,86,A,40.677705,-73.95257,Crown Heights
12457,16053,6104,4,D1,2,1,77064,9303 SHORE ROAD,BROOKLYN,-2147483648,63,C,40.618206,-74.039197,Fort Hamilton
12458,16054,6104,17,D4,2,1,40320,20 93 STREET,BROOKLYN,-2147483648,87,A,40.618589,-74.038736,Fort Hamilton
12459,16055,3025,1,W1,0,1,199500,223 GRAHAM AVENUE,BROOKLYN,-2147483648,80,B,40.709815,-73.943911,Williamsburg
12460,16056,3026,1,C7,2,6,345248,202 GRAHAM AVENUE,BROOKLYN,-2147483648,3,D,40.708984,-73.94331,Williamsburg
12461,16058,3032,7501,R0,2,1,34277,390 LORIMER STREET,BROOKLYN,-2147483648,69,C,40.708442,-73.948262,Williamsburg
12462,16060,6110,20,C7,2,1,29900,159 GELSTON AVENUE,BROOKLYN,-2147483648,37,D,40.617223,-74.02844,Fort Hamilton
12463,16062,6111,1,D4,2,1,100381,9411 SHORE ROAD,BROOKLYN,-2147483648,85,A,40.617434,-74.038744,Fort Hamilton
12464,16063,1212,6,P5,0,1,39076,19 GRANT SQUARE,BROOKLYN,-2147483648,8,D,40.67672,-73.952475,Crown Heights
12465,16064,3056,15,E9,4,1,29900,324 MESEROLE STREET,BROOKLYN,-2147483648,0,F,40.708553,-73.935194,Williamsburg
12466,16066,3060,75,D4,2,1,447000,91 BOERUM STREET,BROOKLYN,-2147483648,44,D,40.706024,-73.945929,Williamsburg
12467,16067,6115,1,D4,2,1,57600,9437 SHORE ROAD,BROOKLYN,-2147483648,71,B,40.616813,-74.038365,Fort Hamilton
12468,16069,6115,6,D4,2,1,70458,9425 SHORE ROAD,BROOKLYN,-2147483648,94,A,40.61697,-74.038461,Fort Hamilton
12469,16070,6998,1,N2,4,1,25600,3915 NEPTUNE AVENUE,BROOKLYN,-2147483648,32,D,40.576425,-74.008584,Sea Gate
12470,16073,6116,41,D1,2,1,44766,245 96 STREET,BROOKLYN,-2147483648,82,B,40.616939,-74.034413,Fort Hamilton
12471,16074,3096,1,D3,2,1,68922,50 MANHATTAN AVENUE,BROOKLYN,-2147483648,0,F,40.703971,-73.944232,Williamsburg
12472,16076,6120,23,D4,2,1,37800,150 95 STREET,BROOKLYN,-2147483648,86,A,40.61691,-74.036613,Fort Hamilton
12473,16077,3110,10,D5,2,1,42820,260 MOORE STREET,BROOKLYN,-2147483648,50,D,40.704651,-73.933827,Williamsburg
12474,16078,3113,22,C7,2,1,27480,31 GRAHAM AVENUE,BROOKLYN,-2147483648,60,C,40.702458,-73.942555,Williamsburg
12475,16079,6123,38,D1,2,1,61818,450 95 STREET,BROOKLYN,-2147483648,47,D,40.614831,-74.030192,Fort Hamilton
12476,16081,3131,7501,R0,2,1,58498,810 FLUSHING AVENUE,BROOKLYN,-2147483648,82,B,40.701107,-73.939706,Bushwick
12477,16082,6126,52,C6,2,1,45540,325 MARINE AVENUE,BROOKLYN,-2147483648,87,A,40.614714,-74.033419,Fort Hamilton
12478,16083,7011,11,D1,2,1,102000,2828 WEST 28 STREET,BROOKLYN,-2147483648,27,D,40.576282,-73.994808,Coney Island
12479,16084,1220,19,D7,0,2,95671,715 ST MARKS AVENUE,BROOKLYN,-2147483648,73,B,40.675476,-73.948945,Crown Heights
12480,16085,6133,25,D4,2,1,141464,9902 3 AVENUE,BROOKLYN,-2147483648,78,B,40.614216,-74.035196,Fort Hamilton
12481,16087,1223,53,D1,2,1,50400,959 ST MARKS AVENUE,BROOKLYN,-2147483648,84,B,40.674812,-73.939568,Crown Heights
12482,16089,1227,16,D1,2,1,65046,720 ST MARKS AVENUE,BROOKLYN,-2147483648,93,A,40.674908,-73.949213,Crown Heights
12483,16090,1227,25,D1,2,1,46654,748 ST MARKS AVENUE,BROOKLYN,-2147483648,53,D,40.674802,-73.948507,Crown Heights
